"id","operation","baseCurrency","baseCurrencyAmount","createdAt","quoteCurrency","quoteCurrencyAmount","feeAmount","extraFeeAmount","networkFeeAmount","status"
"17284bf9-1336-4fb4-b205-37697091e0ae","buy","usd",24.89,"2024-09-08T12:28:34.318Z","ltc",,3.99,1.12,0,"failed"
"bcea8c6a-7d73-4fa5-8f71-1450e5f90913","buy","usd",37.26,"2024-09-29T04:29:23.979Z","ltc",,1.99,0.75,0,"failed"
"ad2459ec-73d8-4034-a4a8-747259a44852","buy","usd",37.26,"2024-09-29T04:40:51.881Z","ltc",,1.99,0.75,0,"failed"
"e331bddd-9eac-47a1-84de-a947f271dc8a","buy","usd",47.07,"2024-10-01T03:47:11.855Z","ltc",,1.99,0.94,0,"failed"
"5f79fd8c-13e4-47f3-b454-75c223e8c5ef","buy","usd",47.07,"2024-10-01T04:08:51.463Z","ltc",,1.99,0.94,0,"failed"
"de656365-ccc6-4632-a651-6ae2644fe351","buy","sek",2898.45,"2024-10-01T05:56:18.672Z","bch",,231.88,0,10.56,"failed"
"e51434f6-c8ed-4297-828c-ad6198f2f4f2","buy","eur",21.01,"2024-10-20T08:39:14.910Z","usdt_trx",,3.99,0.95,4.05,"failed"
"552cb483-0003-47f9-8f92-b3e29e56ce9a","buy","eur",21.01,"2024-10-20T08:41:43.476Z","usdt_trx",,3.99,0.95,4.05,"failed"
"fd9450d3-eddb-4f77-9199-93f05403982b","buy","usd",47.07,"2024-10-26T22:24:50.381Z","ltc",,1.99,0.94,0,"failed"
"092323ec-a61b-435a-860f-e2b983aa8cb5","buy","usd",47.07,"2024-10-26T22:26:30.543Z","ltc",,1.99,0.94,0,"failed"
"dd25be69-2ed3-4f46-a180-b1acc9c1affa","buy","usd",47.07,"2024-10-26T22:39:22.316Z","ltc",,1.99,0.94,0,"failed"
"0d860e5f-2ccb-40aa-a545-1b4f8e30ba4f","buy","usd",27.46,"2024-11-03T10:34:56.149Z","ltc",,1.99,0.55,0,"failed"
"cffe95b9-fe41-4ddf-8048-0925294f168c","buy","usd",47.07,"2024-11-03T22:33:39.614Z","ltc",,1.99,0.94,0,"failed"